constraint_name,source_schema,source_table,source_column,target_schema,target_table,target_column
announcement_comments_announcement_id_fkey,public,announcement_comments,announcement_id,public,announcements,id
announcement_comments_parent_comment_id_fkey,public,announcement_comments,parent_comment_id,public,announcement_comments,id
announcement_files_announcement_id_fkey,public,announcement_files,announcement_id,public,announcements,id
announcements_course_id_fkey,public,announcements,course_id,public,courses,id
announcements_created_by_fkey,public,announcements,created_by,public,professoraccounts,id
course_group_members_assigned_by_fkey,public,course_group_members,assigned_by,public,professoraccounts,id
course_group_members_group_id_fkey,public,course_group_members,group_id,public,course_groups,id
course_group_members_student_id_fkey,public,course_group_members,student_id,public,studentaccounts,id
course_groups_course_id_fkey,public,course_groups,course_id,public,courses,id
course_groups_created_by_fkey,public,course_groups,created_by,public,professoraccounts,id
course_join_requests_course_id_fkey,public,course_join_requests,course_id,public,courses,id
course_join_requests_responded_by_fkey,public,course_join_requests,responded_by,public,professoraccounts,id
course_join_requests_student_id_fkey,public,course_join_requests,student_id,public,studentaccounts,id
course_students_approved_by_fkey,public,course_students,approved_by,public,professoraccounts,id
course_students_course_id_fkey,public,course_students,course_id,public,courses,id
course_students_student_id_fkey,public,course_students,student_id,public,studentaccounts,id
courses_approved_by_fkey,public,courses,approved_by,public,adminaccounts,id
courses_professor_id_fkey,public,courses,professor_id,public,professoraccounts,id
evaluation_forms_evaluator_id_fkey,public,evaluation_forms,evaluator_id,public,studentaccounts,id
evaluation_forms_group_id_fkey,public,evaluation_forms,group_id,public,course_groups,id
evaluation_forms_phase_id_fkey,public,evaluation_forms,phase_id,public,project_phases,id
evaluation_submissions_evaluated_student_id_fkey,public,evaluation_submissions,evaluated_student_id,public,studentaccounts,id
evaluation_submissions_evaluation_form_id_fkey,public,evaluation_submissions,evaluation_form_id,public,project_evaluation_forms,id
evaluation_submissions_evaluator_id_fkey,public,evaluation_submissions,evaluator_id,public,studentaccounts,id
evaluation_submissions_group_id_fkey,public,evaluation_submissions,group_id,public,course_groups,id
evaluation_submissions_phase_id_fkey,public,evaluation_submissions,phase_id,public,project_phases,id
evaluation_submissions_project_id_fkey,public,evaluation_submissions,project_id,public,projects,id
frozen_task_submissions_frozen_by_leader_fkey,public,frozen_task_submissions,frozen_by_leader,public,studentaccounts,id
frozen_task_submissions_group_id_fkey,public,frozen_task_submissions,group_id,public,course_groups,id
frozen_task_submissions_original_submission_id_fkey,public,frozen_task_submissions,original_submission_id,public,task_submissions,id
frozen_task_submissions_phase_id_fkey,public,frozen_task_submissions,phase_id,public,project_phases,id
frozen_task_submissions_student_id_fkey,public,frozen_task_submissions,student_id,public,studentaccounts,id
frozen_task_submissions_task_id_fkey,public,frozen_task_submissions,task_id,public,tasks,id
group_grades_graded_by_fkey,public,group_grades,graded_by,public,professoraccounts,id
group_grades_group_id_fkey,public,group_grades,group_id,public,course_groups,id
group_grades_phase_id_fkey,public,group_grades,phase_id,public,project_phases,id
group_grades_phase_submission_id_fkey,public,group_grades,phase_submission_id,public,phase_submissions,id
group_grades_project_id_fkey,public,group_grades,project_id,public,projects,id
group_grades_project_submission_id_fkey,public,group_grades,project_submission_id,public,project_submissions,id
individual_grades_graded_by_fkey,public,individual_grades,graded_by,public,professoraccounts,id
individual_grades_group_grade_id_fkey,public,individual_grades,group_grade_id,public,group_grades,id
individual_grades_group_id_fkey,public,individual_grades,group_id,public,course_groups,id
individual_grades_phase_id_fkey,public,individual_grades,phase_id,public,project_phases,id
individual_grades_phase_submission_id_fkey,public,individual_grades,phase_submission_id,public,phase_submissions,id
individual_grades_project_id_fkey,public,individual_grades,project_id,public,projects,id
individual_grades_project_submission_id_fkey,public,individual_grades,project_submission_id,public,project_submissions,id
individual_grades_student_id_fkey,public,individual_grades,student_id,public,studentaccounts,id
individual_grades_task_submission_id_fkey,public,individual_grades,task_submission_id,public,task_submissions,id
pending_courses_professor_id_fkey,public,pending_courses,professor_id,public,professoraccounts,id
phase_evaluation_criteria_phase_evaluation_form_id_fkey,public,phase_evaluation_criteria,phase_evaluation_form_id,public,phase_evaluation_forms,id
phase_evaluation_forms_phase_id_fkey,public,phase_evaluation_forms,phase_id,public,project_phases,id
phase_grades_graded_by_fkey,public,phase_grades,graded_by,public,professoraccounts,id
phase_grades_group_id_fkey,public,phase_grades,group_id,public,course_groups,id
phase_grades_phase_id_fkey,public,phase_grades,phase_id,public,project_phases,id
phase_grades_student_id_fkey,public,phase_grades,student_id,public,studentaccounts,id
phase_rubric_criteria_phase_rubric_id_fkey,public,phase_rubric_criteria,phase_rubric_id,public,phase_rubrics,id
phase_rubrics_phase_id_fkey,public,phase_rubrics,phase_id,public,project_phases,id
phase_submissions_graded_by_fkey,public,phase_submissions,graded_by,public,professoraccounts,id
phase_submissions_group_id_fkey,public,phase_submissions,group_id,public,course_groups,id
phase_submissions_phase_id_fkey,public,phase_submissions,phase_id,public,project_phases,id
phase_submissions_submitted_by_fkey,public,phase_submissions,submitted_by,public,studentaccounts,id
project_evaluation_criteria_project_evaluation_form_id_fkey,public,project_evaluation_criteria,project_evaluation_form_id,public,project_evaluation_forms,id
project_evaluation_forms_project_id_fkey,public,project_evaluation_forms,project_id,public,projects,id
project_grades_graded_by_fkey,public,project_grades,graded_by,public,professoraccounts,id
project_grades_group_id_fkey,public,project_grades,group_id,public,course_groups,id
project_grades_project_id_fkey,public,project_grades,project_id,public,projects,id
project_grades_student_id_fkey,public,project_grades,student_id,public,studentaccounts,id
project_phases_project_id_fkey,public,project_phases,project_id,public,projects,id
project_rubric_criteria_project_rubric_id_fkey,public,project_rubric_criteria,project_rubric_id,public,project_rubrics,id
project_rubrics_project_id_fkey,public,project_rubrics,project_id,public,projects,id
project_submissions_graded_by_fkey,public,project_submissions,graded_by,public,professoraccounts,id
project_submissions_group_id_fkey,public,project_submissions,group_id,public,course_groups,id
project_submissions_project_id_fkey,public,project_submissions,project_id,public,projects,id
project_submissions_submitted_by_fkey,public,project_submissions,submitted_by,public,studentaccounts,id
projects_course_id_fkey,public,projects,course_id,public,courses,id
projects_created_by_fkey,public,projects,created_by,public,professoraccounts,id
revision_submissions_original_submission_fkey,public,revision_submissions,original_submission_id,public,task_submissions,id
revision_submissions_reviewed_by_fkey,public,revision_submissions,reviewed_by,public,studentaccounts,id
revision_submissions_submitted_by_fkey,public,revision_submissions,submitted_by,public,studentaccounts,id
revision_submissions_task_id_fkey,public,revision_submissions,task_id,public,tasks,id
task_feedback_feedback_by_fkey,public,task_feedback,feedback_by,public,studentaccounts,id
task_feedback_revision_submission_id_fkey,public,task_feedback,revision_submission_id,public,revision_submissions,id
task_feedback_submission_id_fkey,public,task_feedback,submission_id,public,task_submissions,id
task_grades_graded_by_fkey,public,task_grades,graded_by,public,professoraccounts,id
task_grades_student_id_fkey,public,task_grades,student_id,public,studentaccounts,id
task_grades_task_id_fkey,public,task_grades,task_id,public,tasks,id
task_submissions_reviewed_by_fkey,public,task_submissions,reviewed_by,public,studentaccounts,id
task_submissions_submitted_by_fkey,public,task_submissions,submitted_by,public,studentaccounts,id
task_submissions_task_id_fkey,public,task_submissions,task_id,public,tasks,id
tasks_assigned_by_fkey,public,tasks,assigned_by,public,studentaccounts,id
tasks_assigned_to_fkey,public,tasks,assigned_to,public,studentaccounts,id
tasks_phase_id_fkey,public,tasks,phase_id,public,project_phases,id
tasks_project_id_fkey,public,tasks,project_id,public,projects,id
